1.63	63.1			
1.61	55.6			
1.57	49			
1.66	57.8			
1.62	64.2			
1.59	57.6			
1.67	79.4			
1.74	67.1			
1.6	59			
1.65	58.5			
1.6	50			
1.6	60.1			
1.65	56.8			
1.65	57.3			
1.68	52.4			
1.64	61			
1.67	57.2			
1.6	67.8			
1.55	66.9			
1.71	58.3			
1.56	55.1			
1.66	61.5			
1.61	61.2			
1.69	63.5			
1.73	66.9			
1.56	55.2			
1.54	51.9			
1.73	66.5			
1.61	57.2			
1.65	63.5			
1.65	59.4			
1.69	55.6			
1.7	73.5			
1.6	60.1			
1.64	51			
1.64	56.7			
1.59	79.6			
1.6	47.9			
1.68	52.4			
1.68	78.5			
1.73	61.3			
1.65	64.1			
1.63	71.7			
1.71	66.5			
1.68	53.3			
1.7	63.3			
1.62	55.3			
1.5	50.2			
1.66	56.2			
1.55	48.8			
1.56	47.2			
1.63	61.1			
1.66	62.5			
1.66	49.2			
1.56	57.5			
1.7	59.3			
1.74	59.2			
1.66	56.8			
1.58	49.9			
1.63	53.1			
1.61	52.7			
1.59	44.2			
1.64	57.2			
1.52	57.2			
1.66	55.1			
1.63	52.4			
1.78	60.6			
1.67	67.8			
1.75	62.8			
1.68	63.1			
1.62	64.4			
1.64	53.5			
1.79	69.9			
1.52	59			
1.62	53.5			
1.69	62.9			
1.7	65.8			
1.64	53.9			
1.7	51.5			
1.66	58.5			
1.71	68.5			
1.64	44.9			
1.63	55.8			
1.64	69.2			
1.77	64.6			
1.65	54			
1.65	61.6			
1.65	59.3			
1.59	58.1			
1.57	47.3			
1.56	48.8			
1.7	53.6			
1.59	54.4			
1.7	64.9			
1.61	57.5			
1.57	50			
1.63	52.2			
1.65	50.3			
1.64	58.4			
1.7	65.1			
1.78	68.7			
1.78	50.1			
1.66	56.8			
1.71	64.1			
1.69	74.6			
1.72	55.3			
1.73	58.1			
1.67	55.8			
1.57	55.2			
1.63	56.43			
1.61	50.8			
1.73	69.3			
1.66	57.6			
1.57	60.8			
1.66	50.6			
1.7	55.3			
1.7	62.9			
1.6	51.4			
1.63	57.4			
1.58	51.2			
1.65	55.3			
1.57	52.8			
1.74	68.5			
1.68	53.5			
1.6	54.2			
1.77	61			
1.56	51.7			
1.72	67.4			
1.6	57			
1.64	51			
1.59	55.9			
1.68	64.4			
1.57	43.8			
1.66	55.3			
1.66	67.8			
1.75	60.8			
1.71	55.1			
1.68	58.1			
1.64	57.8			
1.65	58.9			
1.68	53.1			
1.78	63.7			
1.7	62.9			
1.66	57.8			
1.61	50.8			
1.63	50			
1.64	58.3			
1.64	59.5			
1.72	59.6			
1.64	59.1			
1.69	56.9			
1.73	59.2			
1.61	56.9			
1.66	59			
1.63	55.7			
1.61	53.1			
1.64	62.5			
1.66	53.9			
1.66	70.5			
1.73	56.7			
1.66	58.7			
1.57	53.8			
1.63	50.1			
1.69	55.8			
1.64	52.2			
1.66	53.1			
1.62	51			
1.66	67.5			
1.68	58.1			
1.59	46.4			
1.66	53.8			
1.73	68.9			
1.57	51.7			
1.57	65.6			
1.64	60.6			
1.7	69.2			
1.71	59.2			
1.75	68.5			
1.66	56.7			
1.68	63.7			
1.7	63.3			
1.61	49			
1.71	71.4			
1.68	53.8			
1.64	66.3			
1.6	49			
1.66	54.4			
1.59	51.3			
1.6	58.1			
1.66	54.7			
1.66	56.7			
1.61	61.7			
1.62	50.5			
1.72	53.3			
1.75	68.8			
1.7	60.8			
1.7	54.8			
1.68	64.1			
1.63	55			
1.7	65.3			
1.64	56.9			
